time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-07 00:00:00+00:00,3,3,4,2
2026-02-08 00:00:00+00:00,0,0,1,1
2026-02-09 00:00:00+00:00,192,65,64,6
2026-02-10 00:00:00+00:00,11,7,20,4
2026-02-11 00:00:00+00:00,3,3,16,6
2026-02-12 00:00:00+00:00,19,11,19,1
2026-02-13 00:00:00+00:00,5,4,4,4
2026-02-14 00:00:00+00:00,10,6,2,2
2026-02-15 00:00:00+00:00,12,8,0,0
2026-02-16 00:00:00+00:00,15,11,0,0
2026-02-17 00:00:00+00:00,10,5,3,2
2026-02-18 00:00:00+00:00,14,6,2,2
2026-02-19 00:00:00+00:00,30,13,11,3
2026-02-20 00:00:00+00:00,19,8,0,0
