time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-22 00:00:00+00:00,37,10,8,4
2026-06-23 00:00:00+00:00,42,11,4,4
2026-06-24 00:00:00+00:00,25,10,0,0
2026-06-25 00:00:00+00:00,41,13,1,1
2026-06-26 00:00:00+00:00,24,10,2,2
2026-06-27 00:00:00+00:00,20,10,0,0
2026-06-28 00:00:00+00:00,2,2,6,1
2026-06-29 00:00:00+00:00,16,5,3,3
2026-06-30 00:00:00+00:00,5,5,1,1
2026-07-01 00:00:00+00:00,18,9,3,3
2026-07-02 00:00:00+00:00,19,10,1,1
2026-07-03 00:00:00+00:00,15,5,6,3
2026-07-04 00:00:00+00:00,18,9,0,0
2026-07-05 00:00:00+00:00,21,8,0,0
