url_path,views_total,views_unique
/grp-bork/porTraits,33,15
/grp-bork/porTraits/tree/main/.github/workflows,8,1
/grp-bork/porTraits/blob/main/docs/output.md,5,3
/grp-bork/porTraits/issues,5,2
/grp-bork/porTraits/blob/main/assets/traits_info.json,4,2
/grp-bork/porTraits/blob/main/.github/workflows/github-repo-stats.yml,4,1
/grp-bork/porTraits/tree/main/docs,3,3
/grp-bork/porTraits/blob/main/assets/traits_harmonized.json,3,2
/grp-bork/porTraits/tree/main/assets,3,2
/grp-bork/porTraits/blob/main/config/params.yml,2,2
